Id;Dificultad;Tema;Remitente;Descripcion;Malicioso
1;1;Actualización de la suscripción a StreamingPlay;Remitente: StreamingPlay Support support@streamingplay.com;\nEstimado [Nombre del jugador],\n\nQueremos informarte que tu suscripción a StreamingPlay se ha renovado correctamente. Si deseas actualizar tu plan o tienes alguna consulta, estamos aquí para ayudarte.\n\nGracias por ser parte de StreamingPlay.\n\nAtentamente,\n\nEl equipo de StreamingPlay.;False
2;1;Confirmación de recibo de pago de servicios públicos;Remitente: UtiliCo contacto@utilico.com;\nHola [Nombre del jugador],\n\nGracias por tu pago reciente del servicio de agua. Te confirmamos que tu cuenta ha sido actualizada y que el pago fue recibido exitosamente.\n\nCualquier pregunta o inquietud, no dudes en contactarnos.\n\nAtentamente,\n\nEl equipo de UtiliCo.;False
3;1; [URGENTE] Último paso para confirmar tu aplicación;Remitente: JobOffers support@j0b0fferz.com;\nHola [Nombre del jugador],\n\nEs urgente que confirmes tu aplicación de trabajo. Haz clic en el enlace para completar tu registro y asegurar tu lugar en nuestro proceso de selección.\n\nGracias,\n\nEl equipo de JobOffers.;True
4;1;Aceptación de solicitud de empleo en TechInnovate;Remitente: TechInnovate Careers careers@techinnovate.com;\nEstimado [Nombre del jugador],\n\n¡Gracias por tu interés en unirte a nuestro equipo en TechInnovate! Hemos recibido tu solicitud y comenzaremos a revisarla. Te contactaremos pronto con los próximos pasos en el proceso.\n\nSaludos cordiales,\n\nEl equipo de TechInnovate.\n\n;False
5;1;Recibo de pago mensual de suscripción de gimnasio;Remitente: GymMax Support supp0rt@gymnax.com;\nHola [Nombre del jugador],\n\nTe confirmamos que hemos recibido tu pago mensual. Tu membresía se encuentra activa y puedes continuar disfrutando de nuestros servicios.\n\nGracias por elegir GymMax,\n\nEl equipo de GymMax.\n\n;True
6;1;Verificación de información para la oferta de trabajo;Remitente: EmpOffers jobs@empoffers.co;\nEstimado [Nombre del jugador],Para finalizar tu proceso de aplicación, necesitamos que verifiques tu información. Haz clic en el enlace de abajo para completar esta verificación.\n\nGracias,\n\nEl equipo de EmpOffers.\n\n;False
7;2;Bienvenido a CyberFort Labs - Guía para nuevos empleados;Remitente: CyberFort Labs HR hr@cyberfortlabs.com;\nEstimado [Nombre del jugador],\n\n¡Bienvenido a CyberFort Labs! En este correo encontrarás nuestra guía para nuevos empleados, que incluye detalles sobre la política de la empresa y recursos adicionales para ayudarte en tu primer día.\n\nPor favor, revisa y prepárate para nuestra sesión de introducción.\n\nSaludos,\n\nEl equipo de Recursos Humanos de CyberFort Labs.\n\n;False
8;2;Política de seguridad de información de CyberFort Labs;Remitente: IT Security security@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nAdjunto encontrarás la política de seguridad de CyberFort Labs. Es fundamental que todos los empleados revisen este documento para entender cómo proteger la información de nuestra empresa.\n\nAsegúrate de leerlo y de completar la breve encuesta de confirmación al final del documento.\n\nGracias,\n\nEquipo de Seguridad de Información.\n\n; False
9;2; [URGENTE] Actualiza tus datos personales en el sistema;Remitente: CyberFort Labs hr@cyberfortlabs-email.com;\nEstimado [Nombre del jugador],\n\nEs urgente que actualices tus datos personales en nuestro sistema. Si no lo haces en las próximas 24 horas, tu cuenta será desactivada. Haz clic en el enlace para actualizar tu información.\n\nSaludos,\n\nEl equipo de Recursos Humanos de CyberFort Labs.\n\n;True
10;2;Recordatorio de sesión de ciberseguridad obligatoria;Remitente: CyberFort Training training@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nEste es un recordatorio para la sesión de capacitación en ciberseguridad obligatoria. La sesión cubrirá temas importantes sobre la detección de correos maliciosos y la protección de datos.\n\nEsperamos tu participación. Si tienes alguna pregunta, no dudes en escribirnos.\n\nAtentamente,\n\nEl equipo de capacitación de CyberFort Labs.\n\n;False
11;2;Actualización de tu contraseña de acceso;Remitente: IT Support it@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nComo parte de nuestras políticas de seguridad, te recomendamos que actualices tu contraseña de acceso cada tres meses. Para hacerlo, visita el portal de empleados y sigue las instrucciones.\n\nSi necesitas asistencia, nuestro equipo de soporte está disponible para ayudarte.\n\nSaludos,\n\nEl equipo de soporte de TI.\n\n;False
12;2;Necesitamos tu número de identificación ahora;Remitente: CyberFort Labs IT it-support@cyberforlabs.com;\nEstimado [Nombre del jugador],\n\nPara verificar tu cuenta, necesitamos que nos envíes tu número de identificación inmediatamente. Esto es esencial para mantener la seguridad de tu cuenta.\n\nPor favor, responde a este correo con la información solicitada.\n\nGracias,\n\nSoporte de TI de CyberFort Labs.\n\n;True
13;3;[MÁXIMA ALERTA] Activa tu cuenta inmediatamente;Remitente: CyberFort Labs security@cyberforlabs.com;\nEstimado [Nombre del jugador],\n\nHemos detectado actividad sospechosa en tu cuenta. Es esencial que actives tu cuenta inmediatamente para evitar una posible desactivación. Haz clic en el enlace y sigue las instrucciones en el archivo adjunto.\n\nGracias,\n\nEquipo de Seguridad de CyberFort Labs.\n\n;True
14;3;Actualización de tu dispositivo de trabajo;Remitente: IT Support support@cyberfortlabs.com;\nHola [Nombre del jugador],\n\nEste correo es para notificarte que tu equipo de trabajo necesita una actualización de seguridad. Asegúrate de revisar las instrucciones en el archivo adjunto y sigue los pasos indicados.\n\nRecuerda: escanea siempre los archivos adjuntos antes de abrirlos, aunque provengan de fuentes confiables.\n\nAtentamente,\n\nEl equipo de soporte de TI.\n\n;False
